,X,Plot,R,Slope,SoilTemp_C,SoilMoisture_Percent,DOY,Site,Fungi
382,22,46,0.997256096,7.32543366,9.444444444,19.9,297,Upper,TRUE
383,23,47,0.980010187,1.934143329,8.888888889,32.1,297,Upper,FALSE
384,24,48,0.979972963,2.238848885,10,36.6,297,Upper,FALSE
385,1,25,0.89950394,1.017145782,7.222222222,17.8,311,Upper,FALSE
386,2,26,0.953604629,1.219041937,7.777777778,23.8,311,Upper,FALSE
387,3,27,0.899799043,1.002474824,6.666666667,19.2,311,Upper,FALSE
388,4,28,0.92141249,1.23007736,6.111111111,26.6,311,Upper,FALSE
389,5,29,0.933985544,1.01909557,5.555555556,25.9,311,Upper,FALSE
390,6,30,0.958585129,1.429425779,7.222222222,28.5,311,Upper,FALSE
391,7,31,0.71374173,0.713954329,5.555555556,24.3,311,Upper,FALSE
392,8,32,0.959946571,1.997127752,8.333333333,29.8,311,Upper,FALSE
393,9,33,0.89694776,0.624345091,7.222222222,41.6,311,Upper,FALSE
394,10,34,0.968669314,1.494155193,3.888888889,24.3,311,Upper,FALSE
395,11,35,0.873003386,1.099223683,6.666666667,35.2,311,Upper,FALSE
396,12,36,0.944722544,1.530967622,6.666666667,22.1,311,Upper,FALSE
397,13,37,0.976571441,1.863029628,8.333333333,39.6,311,Upper,FALSE
398,14,38,0.853284344,0.693502715,6.666666667,39.7,311,Upper,FALSE
399,15,39,0.930403041,1.037777551,5,34.1,311,Upper,FALSE
400,16,40,0.890941689,1.328927595,5.555555556,25.2,311,Upper,FALSE
401,17,41,0.97609379,2.583566695,6.666666667,15.7,311,Upper,FALSE
402,18,42,0.865720268,1.097598624,5,26,311,Upper,FALSE
403,19,43,0.96743868,1.873604481,3.888888889,30.1,311,Upper,FALSE
404,20,44,0.967178507,1.641064262,6.666666667,30.8,311,Upper,TRUE
405,21,45,0.929022302,1.06559005,6.666666667,21.8,311,Upper,FALSE
406,22,46,0.991240391,4.267134877,5,17.5,311,Upper,TRUE
407,23,47,0.914784501,1.032973272,6.666666667,37.7,311,Upper,FALSE
408,24,48,0.957233123,1.517747847,5,32.8,311,Upper,FALSE
409,1,1,0.964423443,1.723044567,4.444444444,31.8,313,Lower,FALSE
410,2,2,0.741510462,0.598839389,3.888888889,23.3,313,Lower,FALSE
411,3,3,0.977533738,1.71794323,3.888888889,32.2,313,Lower,FALSE
412,4,4,0.964590823,1.433636688,6.111111111,26.1,313,Lower,FALSE
413,5,5,0.850911397,0.938041787,5,28,313,Lower,FALSE
414,6,6,0.985473043,2.510315437,5,33.3,313,Lower,TRUE
415,7,7,0.96427701,1.355285135,5,40.7,313,Lower,FALSE
416,8,8,0.957030825,1.60025153,4.444444444,31.6,313,Lower,FALSE
417,9,9,0.942514251,1.138613743,5,26.7,313,Lower,FALSE
418,10,10,0.911894664,1.039056534,4.444444444,41.6,313,Lower,FALSE
419,11,11,0.941071627,1.209433835,5,38.9,313,Lower,FALSE
420,12,12,0.945797569,1.576880037,6.666666667,42.1,313,Lower,FALSE
421,13,13,0.987508841,2.948044268,7.777777778,40.4,313,Lower,FALSE
422,14,14,0.872270312,0.930720635,5.555555556,42.8,313,Lower,FALSE
423,15,15,0.952197659,1.873083894,6.666666667,23.4,313,Lower,FALSE
424,16,16,0.887380516,1.294804949,5,18.9,313,Lower,FALSE
425,17,17,0.979163066,2.977573138,6.666666667,33.4,313,Lower,FALSE
426,18,18,0.932526249,1.798299447,6.111111111,38.9,313,Lower,FALSE
427,19,19,0.921425743,1.515789125,6.666666667,32.7,313,Lower,FALSE
428,20,20,0.909877361,1.217989464,10,28.9,313,Lower,FALSE
429,21,21,0.896561733,1.288364665,10,28.5,313,Lower,FALSE
430,22,22,0.82128328,0.922249823,10.55555556,25.8,313,Lower,FALSE
431,23,23,0.875501464,1.079745835,10,26,313,Lower,FALSE
432,24,24,0.891921467,1.029377559,10.55555556,20.2,313,Lower,FALSE
434,2,2,0.926666576,1.127063188,5,34.9,325,Lower,FALSE
435,3,3,0.961649662,1.803741843,6.666666667,24.5,325,Lower,FALSE
436,4,4,0.860805861,0.846641905,6.666666667,28.9,325,Lower,FALSE
437,5,5,0.896056372,2.544854529,6.111111111,39.7,325,Lower,FALSE
438,6,6,0.986705914,9.698836564,6.666666667,39.3,325,Lower,TRUE
439,7,7,0.995258637,17.14457554,6.666666667,38.9,325,Lower,FALSE
440,8,8,0.952122685,2.200681324,6.666666667,29.4,325,Lower,FALSE
441,9,9,0.99853487,11.40210286,3.888888889,33.1,325,Lower,FALSE
442,10,10,0.925698301,1.242274927,5.555555556,43.9,325,Lower,FALSE
443,11,11,0.847717905,0.95076344,4.444444444,48.1,325,Lower,FALSE
445,13,13,0.995265647,13.92281272,7.777777778,42.1,325,Lower,FALSE
446,14,14,0.999181306,15.39661493,5,57,325,Lower,FALSE
447,15,15,0.997987373,10.62680863,5,36.9,325,Lower,FALSE
