JulianDate,Plot,drymass_g,FracSoilC,soilcmass_g,slope_ug_g_min
339,19,13.02007435,0.049329638,0.642275554,0.009481063
339,20,16.34455978,0.050039511,0.817873779,0.031943841
339,21,15.17968253,0.062321873,0.946026247,0.029329229
339,22,13.34000001,0.059288177,0.790904282,0.013046177
339,23,14.41036972,0.054538288,0.785916894,0.028120556
339,24,13.60903051,0.071805949,0.977209351,0.008922051
339,25,12.5210103,0.114828568,1.437769683,0.042393672
339,26,14.24468209,0.098411703,1.401843423,0.028521172
339,27,14.07065934,0.088183308,1.240797286,0.008850798
339,28,14.90100796,0.097220345,1.448681135,0.014797051
339,29,13.78688572,0.107228251,1.478343642,0.022212229
339,30,13.63126637,0.09716095,1.32442679,0.040438461
339,31,13.92702568,0.098145361,1.366872963,0.031956939
339,32,11.44096677,0.123407126,1.411896828,0.010885144
339,33,12.42194891,0.100565405,1.249218323,0.013358717
339,34,14.09218242,0.056400647,0.794808206,0.012637031
339,35,12.97694391,0.063473816,0.82369615,0.012631451
339,36,13.09339705,0.095515642,1.250624225,0.061591585
339,37,11.12200001,0.071612425,0.796473392,0.012986654
339,38,12.22979144,0.081808348,1.000499034,0.023784642
339,39,13.63622093,0.105532417,1.439063353,0.032070825
339,40,12.33761391,0.109769363,1.35429202,0.013658273
339,41,12.51536633,0.056978292,0.713104197,0.009777637
339,42,11.97650523,0.142337942,1.704711107,0.016750106
339,43,12.98173333,0.084535217,1.097413644,0.0140623
339,44,13.7966611,0.09904088,1.366433456,0.005573786
339,45,14.15930942,0.0863063,1.222037607,0.010253409
339,46,NA,NA,NA,NA
339,47,11.06521445,0.18553175,2.052948601,0.015636766
339,48,5.711801897,0.12223793,0.69819884,0.04144351
375,1,14.68288241,0.02856096,0.419357217,0.000595155
375,2,15.45218402,0.033043883,0.510600161,0.005392914
375,3,13.57254355,0.043177724,0.586031539,0.007071466
375,4,14.28953572,0.056258264,0.803904473,0.006989809
375,5,14.95704845,0.053439951,0.799303936,0.007027192
375,6,15.20264152,0.056362486,0.85685867,0.005432268
375,7,14.36511804,0.04723691,0.678563788,0.002572055
375,8,14.79696722,0.060656929,0.89753859,0.00483014
375,9,15.90561152,0.038174934,0.60719567,0.0093851
375,10,13.22536328,0.060441909,0.799366204,0.00615659
375,11,14.035,0.048759494,0.684339498,0.002264996
375,12,14.89688312,0.035717561,0.532080332,0.000550899
